Gender,Age,CGPA,Matriculation Percentage,Intermediate Percentage,Data Structures And Algorithm Marks,DBMS Marks,Number of backlogs,Number of Reappears,History of Reappear/Backlogs,Programming proficiency,GitHub total repositories,GitHub commits/month,Experience with frameworks,English proficiency,Coding practice hours/week,Aptitude score,Attandance,Recommended Career
Male,22,5.5,62.0,60.0,50.0,55.0,5.0,3.0,"Needs significant improvement, lacking fundamental skills.",Beginner,0.0,1.0,,Poor,4.0,40.0,50.0,Software Engineer
Female,19,9.3,96.0,92.0,93.0,90.0,0.0,0.0,"Consistent performer, strong analytical abilities.",Advanced,13.0,45.0,"React, Angular, Vue.js, Svelte, Next.js, Nuxt.js",Excellent,33.0,92.0,96.0,Software Engineer
Male,20,8.0,84.0,80.0,79.0,84.0,1.0,0.0,"Interested in data structures, practicing regularly.",Intermediate,5.0,18.0,,Good,19.0,72.0,82.0,Software Engineer
Female,21,6.7,72.0,70.0,66.0,70.0,3.0,1.0,"Requires more practice, struggling with coding assignments.",Beginner,1.0,4.0,,Average,7.0,56.0,66.0,Software Engineer
Male,23,5.9,66.0,62.0,56.0,62.0,4.0,2.0,"Needs to focus on core subjects, behind in syllabus.",Beginner,0.0,2.0,,Poor,5.0,48.0,58.0,Software Engineer
Female,19,9.6,97.0,95.0,96.0,92.0,0.0,0.0,"Dedicated student, always seeking challenges.",Advanced,16.0,52.0,"React, Angular, Vue.js, Svelte, Next.js, Nuxt.js",Excellent,36.0,96.0,97.0,Software Engineer
Male,20,8.2,86.0,82.0,81.0,86.0,0.0,0.0,"Focused on cloud technologies, exploring AWS and Azure.",Intermediate,8.0,26.0,React,Good,21.0,76.0,86.0,Software Engineer
Female,22,7.1,77.0,74.0,71.0,74.0,2.0,1.0,"Needs help with project management, struggling with deadlines.",Beginner,3.0,9.0,,Average,12.0,61.0,71.0,Software Engineer
Male,21,9.1,93.0,90.0,91.0,88.0,0.0,0.0,Consistently excels in academics and extracurriculars.,Advanced,10.0,38.0,Django,Excellent,28.0,85.0,93.0,Software Engineer
Male,20,8.5,88.0,86.0,78.0,82.0,0.0,0.0,"Average student, interested in web development.",Intermediate,5.0,25.0,"React, Angular, Vue.js, Svelte, Next.js, Nuxt.js",Good,15.0,75.0,85.0,Software Engineer
Female,19,9.2,92.0,90.0,90.0,95.0,0.0,0.0,"Consistent performer, excels in algorithms.",Advanced,12.0,40.0,Node,Excellent,25.0,88.0,92.0,Software Engineer
Male,21,6.8,72.0,70.0,60.0,65.0,2.0,1.0,"Struggles with coding, needs improvement.",Beginner,1.0,5.0,,Average,8.0,55.0,70.0,Web Developer
Female,20,7.9,80.0,78.0,75.0,70.0,1.0,0.0,"Dedicated student, keen on learning.",Intermediate,3.0,15.0,Django,Good,12.0,68.0,80.0,Software Engineer
Male,22,5.9,65.0,62.0,50.0,55.0,4.0,2.0,Needs to focus on academics.,Beginner,0.0,0.0,"React, Angular, Vue.js, Svelte, Next.js, Nuxt.js",Poor,5.0,40.0,60.0,Software Engineer
Female,19,8.7,89.0,87.0,85.0,90.0,0.0,0.0,A bright and enthusiastic student.,Advanced,8.0,35.0,Angular,Excellent,20.0,82.0,90.0,Software Engineer
Male,21,7.2,75.0,73.0,65.0,70.0,1.0,1.0,Working hard to improve his grades.,Intermediate,2.0,10.0,React,Average,10.0,60.0,75.0,Software Engineer
Female,20,9.5,95.0,93.0,95.0,98.0,0.0,0.0,Exceptional student with a strong grasp.,Advanced,15.0,50.0,Node,Excellent,30.0,95.0,95.0,Software Engineer
Male,23,6.2,68.0,66.0,55.0,60.0,3.0,1.0,Needs to attend classes more regularly.,Beginner,0.0,2.0,"React, Angular, Vue.js, Svelte, Next.js, Nuxt.js",Poor,6.0,45.0,55.0,Software Engineer
Female,18,8.1,82.0,80.0,78.0,80.0,0.0,0.0,A proactive student always eager to learn.,Intermediate,6.0,20.0,Django,Good,14.0,70.0,82.0,Software Engineer
Male,20,7.5,78.0,76.0,70.0,75.0,1.0,0.0,A good student with potential.,Intermediate,4.0,12.0,React,Average,11.0,65.0,78.0,Software Engineer
Female,22,9.0,91.0,89.0,88.0,92.0,0.0,0.0,Highly motivated and dedicated.,Advanced,10.0,45.0,Angular,Excellent,28.0,90.0,93.0,Software Engineer
Male,19,6.5,70.0,68.0,60.0,62.0,2.0,1.0,Needs to improve his programming skills.,Beginner,1.0,3.0,"React, Angular, Vue.js, Svelte, Next.js, Nuxt.js",Average,7.0,50.0,65.0,Web Developer
Female,21,8.3,85.0,83.0,80.0,85.0,0.0,0.0,Diligent and focused on her studies.,Intermediate,7.0,22.0,Node,Good,16.0,72.0,84.0,Software Engineer
Male,20,5.7,62.0,60.0,45.0,50.0,5.0,3.0,Requires significant improvement in all areas.,Beginner,0.0,0.0,,Poor,4.0,35.0,50.0,Software Engineer
Female,19,9.7,97.0,95.0,98.0,99.0,0.0,0.0,An outstanding student with exceptional talent.,Advanced,18.0,55.0,"React, Angular, Vue.js, Svelte, Next.js, Nuxt.js",Excellent,35.0,98.0,98.0,Software Engineer
Male,22,7.0,74.0,72.0,62.0,68.0,1.0,1.0,Improving steadily with consistent effort.,Intermediate,3.0,8.0,Django,Average,9.0,58.0,73.0,Web Developer
Female,20,8.6,87.0,85.0,83.0,88.0,0.0,0.0,A dedicated and hardworking student.,Advanced,9.0,30.0,Angular,Excellent,18.0,80.0,88.0,Software Engineer
Male,21,6.0,66.0,64.0,52.0,58.0,3.0,2.0,Needs to work on time management.,Beginner,0.0,1.0,,Poor,5.0,42.0,58.0,Software Engineer
Female,18,9.3,93.0,91.0,92.0,96.0,0.0,0.0,A brilliant student with a bright future.,Advanced,14.0,48.0,"React, Angular, Vue.js, Svelte, Next.js, Nuxt.js",Excellent,32.0,93.0,94.0,Software Engineer
Male,20,7.7,79.0,77.0,72.0,77.0,0.0,0.0,A capable student with good potential.,Intermediate,5.0,17.0,React,Good,13.0,66.0,79.0,Software Engineer
Female,22,5.5,60.0,58.0,40.0,45.0,4.0,2.0,Needs significant help.,Beginner,0.0,0.0,,Poor,2.0,20.0,62.0,Software Engineer
Male,19,8.9,90.0,88.0,86.0,91.0,0.0,0.0,"Consistently performs well, excellent analytical skills.",Advanced,11.0,38.0,Django,Excellent,22.0,85.0,91.0,Software Engineer
Female,21,7.3,76.0,74.0,68.0,72.0,1.0,0.0,Improving steadily.,Intermediate,4.0,11.0,"React, Angular, Vue.js, Svelte, Next.js, Nuxt.js",Good,10.0,62.0,76.0,Software Engineer
Male,20,6.3,69.0,67.0,58.0,61.0,2.0,1.0,Needs to attend all classes.,Beginner,1.0,4.0,,Average,7.0,48.0,68.0,Software Engineer
Male,20,8.7,88.0,92.0,85.0,90.0,0.0,0.0,Active in coding competitions.,Advanced,12.0,35.0,React,Excellent,25.0,82.0,92.0,Software Engineer
Female,19,9.2,95.0,91.0,92.0,88.0,0.0,0.0,Interested in data structures and algorithms.,Advanced,18.0,45.0,Node,Excellent,30.0,90.0,95.0,Software Engineer
Male,21,7.1,75.0,78.0,68.0,72.0,2.0,1.0,Struggles with understanding complex concepts.,Intermediate,5.0,15.0,"Android (Jetpack Compose), SwiftUI",Average,10.0,60.0,75.0,Software Engineer
Female,20,8.0,82.0,85.0,78.0,80.0,1.0,0.0,Works hard and is dedicated to learning.,Intermediate,8.0,20.0,Django,Good,15.0,72.0,85.0,Software Engineer
Male,22,6.5,68.0,70.0,55.0,60.0,3.0,2.0,Needs improvement in time management.,Beginner,2.0,5.0,,Poor,5.0,50.0,65.0,Software Engineer
Female,19,9.5,93.0,96.0,95.0,93.0,0.0,0.0,Very passionate about software development.,Advanced,20.0,55.0,Angular,Excellent,35.0,95.0,98.0,Software Engineer
Male,21,7.8,80.0,82.0,75.0,77.0,1.0,0.0,Shows potential but needs more focus.,Intermediate,7.0,18.0,React,Good,12.0,68.0,80.0,Software Engineer
Female,20,8.5,85.0,88.0,82.0,85.0,0.0,0.0,A quick learner and proactive in projects.,Advanced,10.0,30.0,React,Excellent,22.0,80.0,90.0,Software Engineer
Male,23,5.8,60.0,65.0,48.0,52.0,4.0,3.0,Lacks motivation and struggles with assignments.,Beginner,1.0,2.0,"Android (Jetpack Compose), SwiftUI",Poor,3.0,40.0,60.0,Software Engineer
Female,18,9.0,90.0,93.0,90.0,91.0,0.0,0.0,Consistently performs well in all subjects.,Advanced,15.0,40.0,Django,Excellent,28.0,88.0,93.0,Software Engineer
Male,20,7.3,73.0,76.0,70.0,73.0,2.0,1.0,Has difficulty grasping complex algorithms.,Intermediate,4.0,10.0,,Average,8.0,55.0,70.0,Software Engineer
Female,22,8.2,83.0,86.0,79.0,82.0,0.0,0.0,Strong analytical and problem-solving skills.,Intermediate,9.0,25.0,Angular,Good,18.0,75.0,83.0,Software Engineer
Male,19,6.0,65.0,68.0,50.0,55.0,3.0,2.0,Needs to improve coding fundamentals.,Beginner,0.0,0.0,,Poor,4.0,45.0,62.0,Software Engineer
Female,21,9.7,96.0,94.0,96.0,95.0,0.0,0.0,Exceptionally talented and dedicated student.,Advanced,19.0,50.0,React,Excellent,38.0,98.0,97.0,Software Engineer
Male,20,7.6,78.0,80.0,73.0,75.0,1.0,0.0,Actively participates in class discussions.,Intermediate,6.0,16.0,Node,Good,11.0,65.0,78.0,Software Engineer
Female,19,8.3,84.0,87.0,81.0,83.0,0.0,0.0,Shows great potential in web development.,Intermediate,11.0,28.0,"Android (Jetpack Compose), SwiftUI",Excellent,20.0,78.0,88.0,Software Engineer
Male,22,5.5,58.0,62.0,45.0,50.0,5.0,3.0,Struggles with core computer science concepts.,Beginner,0.0,1.0,,Poor,2.0,35.0,55.0,Software Engineer
Female,20,9.1,92.0,90.0,91.0,92.0,0.0,0.0,A highly motivated and intelligent student.,Advanced,17.0,42.0,Angular,Excellent,32.0,92.0,94.0,Software Engineer
Male,21,7.0,70.0,73.0,65.0,70.0,2.0,1.0,Lacks confidence in problem-solving.,Intermediate,3.0,8.0,,Average,7.0,52.0,68.0,Software Engineer
Female,19,8.8,89.0,85.0,86.0,87.0,0.0,0.0,Shows excellent understanding of data structures.,Advanced,14.0,38.0,React,Excellent,26.0,85.0,91.0,Software Engineer
Male,22,6.3,63.0,66.0,53.0,58.0,4.0,2.0,Needs to focus on improving coding skills.,Beginner,1.0,3.0,Node,Poor,4.0,48.0,63.0,Software Engineer
Female,20,9.4,94.0,93.0,93.0,94.0,0.0,0.0,Exceptionally bright and dedicated to learning.,Advanced,20.0,52.0,"Android (Jetpack Compose), SwiftUI",Excellent,36.0,94.0,96.0,Software Engineer
Male,18,7.9,81.0,79.0,76.0,78.0,1.0,0.0,Shows good understanding of database concepts.,Intermediate,7.0,19.0,Django,Good,13.0,70.0,81.0,Software Engineer
Female,21,8.6,87.0,86.0,83.0,84.0,0.0,0.0,A proactive learner and team player.,Advanced,13.0,33.0,Angular,Excellent,24.0,81.0,89.0,Software Engineer
Male,19,6.7,66.0,69.0,57.0,62.0,3.0,1.0,Needs to work on improving algorithmic thinking.,Beginner,2.0,6.0,,Poor,6.0,49.0,66.0,Software Engineer
Male,20,8.7,85.0,88.0,82.0,89.0,0.0,0.0,Active in coding competitions.,Intermediate,8.0,25.0,React,Good,15.0,78.0,92.0,Software Engineer
Female,19,9.2,92.0,90.0,95.0,91.0,0.0,0.0,Participated in hackathons.,Advanced,12.0,40.0,Node,Excellent,20.0,85.0,95.0,Software Engineer
Male,21,7.5,78.0,80.0,68.0,75.0,1.0,1.0,Interested in web development.,Beginner,3.0,10.0,,Average,8.0,65.0,80.0,Data Analyst
Female,20,8.9,88.0,91.0,90.0,85.0,0.0,0.0,Working on a personal project.,Intermediate,7.0,30.0,Django,Good,18.0,82.0,90.0,Software Engineer
Male,22,6.8,72.0,75.0,55.0,62.0,2.0,2.0,Struggling with algorithms.,Beginner,1.0,5.0,,Poor,5.0,58.0,70.0,Software Engineer
Female,19,9.5,95.0,93.0,98.0,96.0,0.0,0.0,Aspiring to be a data scientist.,Advanced,15.0,50.0,React,Excellent,25.0,90.0,98.0,Software Engineer
Male,21,7.0,75.0,73.0,60.0,68.0,3.0,1.0,Needs improvement in coding.,Beginner,2.0,8.0,,Average,7.0,60.0,75.0,Web Developer
Female,20,8.5,82.0,87.0,80.0,88.0,0.0,0.0,Learning machine learning.,Intermediate,6.0,20.0,Node,Good,14.0,75.0,88.0,Software Engineer
Male,23,6.2,68.0,70.0,50.0,58.0,4.0,3.0,Looking for internship opportunities.,Beginner,0.0,2.0,"Android (Jetpack Compose), SwiftUI",Poor,4.0,52.0,65.0,Software Engineer
Female,21,9.1,90.0,89.0,92.0,94.0,0.0,0.0,Focuses on competitive programming.,Advanced,10.0,35.0,Angular,Excellent,22.0,88.0,94.0,Software Engineer
Male,19,7.8,80.0,77.0,70.0,73.0,1.0,0.0,Interested in cloud computing.,Intermediate,4.0,12.0,,Average,10.0,68.0,82.0,Software Engineer
Female,20,8.3,85.0,83.0,78.0,80.0,0.0,0.0,Working on open-source projects.,Intermediate,9.0,28.0,React,Good,16.0,79.0,91.0,Software Engineer
Male,22,6.5,70.0,68.0,53.0,60.0,3.0,2.0,Needs to improve problem-solving skills.,Beginner,1.0,3.0,"Android (Jetpack Compose), SwiftUI",Poor,6.0,55.0,68.0,Software Engineer
Female,18,9.7,97.0,95.0,99.0,97.0,0.0,0.0,Passionate about artificial intelligence.,Advanced,18.0,55.0,Django,Excellent,30.0,95.0,99.0,Software Engineer
Male,20,7.2,76.0,74.0,63.0,70.0,2.0,1.0,Exploring different programming languages.,Beginner,3.0,9.0,,Average,9.0,62.0,77.0,Web Developer
Female,21,8.6,83.0,86.0,83.0,87.0,0.0,0.0,Participating in coding contests.,Intermediate,7.0,23.0,Node,Good,17.0,80.0,89.0,Software Engineer
Male,22,5.8,65.0,62.0,45.0,52.0,5.0,3.0,Has faced academic challenges.,Beginner,0.0,1.0,,Poor,3.0,48.0,60.0,Software Engineer
Female,19,9.3,93.0,92.0,94.0,93.0,0.0,0.0,Eager to learn new technologies.,Advanced,13.0,45.0,"Android (Jetpack Compose), SwiftUI",Excellent,24.0,89.0,96.0,Software Engineer
Male,20,7.9,81.0,79.0,72.0,76.0,1.0,0.0,Focusing on improving coding skills.,Intermediate,5.0,15.0,,Average,11.0,71.0,84.0,Software Engineer
Female,21,8.1,84.0,82.0,75.0,78.0,0.0,0.0,Interested in data analysis.,Intermediate,8.0,26.0,React,Good,19.0,77.0,93.0,Software Engineer
Male,23,5.5,62.0,60.0,40.0,48.0,5.0,2.0,Looking for guidance in career choices.,Beginner,0.0,0.0,"Android (Jetpack Compose), SwiftUI",Poor,2.0,45.0,55.0,Software Engineer
Female,20,9.0,89.0,88.0,91.0,90.0,0.0,0.0,Actively involved in tech communities.,Advanced,11.0,38.0,Django,Excellent,21.0,86.0,97.0,Software Engineer
Male,19,7.3,77.0,76.0,65.0,72.0,2.0,1.0,Needs to work on time management.,Beginner,2.0,7.0,,Average,8.0,63.0,79.0,Web Developer
Female,22,8.4,86.0,84.0,79.0,82.0,0.0,0.0,Contributing to open-source projects.,Intermediate,10.0,32.0,Node,Good,15.0,81.0,90.0,Software Engineer
Male,21,6.9,73.0,71.0,58.0,65.0,3.0,2.0,Seeking advice on career paths.,Beginner,1.0,4.0,"Android (Jetpack Compose), SwiftUI",Poor,5.0,57.0,72.0,Software Engineer
Male,20,8.2,88.0,92.0,78.0,85.0,0.0,0.0,"Average student, eager to learn",Intermediate,5.0,15.0,,Good,15.0,75.0,85.0,Software Engineer
Female,19,9.5,94.0,96.0,92.0,95.0,0.0,0.0,Dedicated and hardworking,Advanced,12.0,40.0,React,Excellent,30.0,90.0,95.0,Software Engineer
Male,21,6.8,72.0,75.0,60.0,65.0,2.0,1.0,Struggling with concepts,Beginner,2.0,5.0,,Average,8.0,50.0,70.0,Web Developer
Female,20,8.9,90.0,93.0,85.0,90.0,0.0,0.0,Consistently performs well,Intermediate,8.0,25.0,"Android (Jetpack Compose), SwiftUI",Good,20.0,82.0,90.0,Software Engineer
Male,22,7.5,78.0,80.0,70.0,75.0,1.0,1.0,Needs improvement in problem-solving,Beginner,3.0,8.0,,Average,10.0,60.0,75.0,Software Engineer
Female,19,9.2,92.0,95.0,88.0,92.0,0.0,0.0,Excellent grasp of fundamentals,Advanced,15.0,50.0,Angular,Excellent,35.0,95.0,98.0,Software Engineer
Male,21,6.2,68.0,70.0,55.0,60.0,3.0,2.0,Requires extra effort,Beginner,1.0,2.0,,Poor,5.0,40.0,65.0,Software Engineer
Female,20,8.5,85.0,88.0,80.0,85.0,0.0,0.0,Active in class discussions,Intermediate,7.0,20.0,"Android (Jetpack Compose), SwiftUI",Good,18.0,78.0,88.0,Software Engineer
Male,23,5.8,65.0,68.0,48.0,55.0,4.0,3.0,Facing difficulties,Beginner,0.0,0.0,,Poor,3.0,30.0,60.0,Software Engineer
Female,19,9.7,95.0,97.0,95.0,98.0,0.0,0.0,Exceptional student,Advanced,18.0,60.0,React,Excellent,40.0,98.0,99.0,Software Engineer
Male,20,7.1,75.0,78.0,65.0,70.0,1.0,0.0,Good understanding,Intermediate,4.0,12.0,,Average,12.0,55.0,72.0,Software Engineer
Female,21,8.0,82.0,85.0,75.0,80.0,0.0,0.0,Consistent performer,Intermediate,6.0,18.0,"Android (Jetpack Compose), SwiftUI",Good,16.0,72.0,82.0,Software Engineer
Male,22,6.5,70.0,73.0,58.0,63.0,2.0,1.0,Needs more practice,Beginner,2.0,6.0,,Average,7.0,45.0,68.0,Web Developer
Female,19,9.0,91.0,94.0,86.0,91.0,0.0,0.0,Highly motivated,Advanced,13.0,45.0,Angular,Excellent,32.0,88.0,93.0,Software Engineer
Male,20,7.8,79.0,82.0,72.0,77.0,0.0,0.0,Shows potential,Intermediate,5.0,14.0,,Good,14.0,65.0,78.0,Software Engineer
Female,21,8.7,87.0,90.0,82.0,87.0,0.0,0.0,Well-organized and diligent,Intermediate,9.0,28.0,"Android (Jetpack Compose), SwiftUI",Good,22.0,80.0,87.0,Software Engineer
Male,22,6.0,66.0,69.0,52.0,58.0,3.0,2.0,Requires significant improvement,Beginner,1.0,1.0,,Poor,4.0,35.0,62.0,Software Engineer
Female,19,9.4,93.0,96.0,90.0,94.0,0.0,0.0,Exceptional problem-solving skills,Advanced,16.0,55.0,React,Excellent,38.0,93.0,97.0,Software Engineer
Male,20,7.3,76.0,79.0,68.0,73.0,1.0,0.0,Steady progress,Intermediate,3.0,10.0,"Android (Jetpack Compose), SwiftUI",Average,11.0,58.0,74.0,Software Engineer
Female,21,8.3,84.0,87.0,79.0,84.0,0.0,0.0,Participates actively,Intermediate,7.0,22.0,Node,Good,17.0,76.0,84.0,Software Engineer
Male,23,5.5,63.0,66.0,45.0,52.0,5.0,3.0,Needs substantial support,Beginner,0.0,0.0,,Poor,2.0,25.0,55.0,Software Engineer
Female,19,9.1,91.0,94.0,87.0,91.0,0.0,0.0,Highly skilled and proactive,Advanced,14.0,48.0,"Android (Jetpack Compose), SwiftUI",Excellent,33.0,89.0,94.0,Software Engineer
Male,20,7.7,77.0,80.0,71.0,76.0,0.0,0.0,Shows promise,Intermediate,4.0,13.0,,Good,13.0,63.0,77.0,Software Engineer
Female,21,8.6,86.0,89.0,81.0,86.0,0.0,0.0,Consistent and focused,Intermediate,8.0,26.0,Django,Good,21.0,79.0,86.0,Software Engineer
Male,22,6.3,69.0,72.0,56.0,61.0,2.0,1.0,Requires more dedication,Beginner,1.0,3.0,"Android (Jetpack Compose), SwiftUI",Average,6.0,42.0,66.0,Software Engineer
Male,20,8.5,88.2,85.5,78.0,82.0,1.0,0.0,Failed math in 11th,Intermediate,5.0,15.0,,Good,15.0,75.0,85.0,Software Engineer
Female,19,9.2,92.1,94.8,92.0,95.0,0.0,0.0,President of coding club,Advanced,12.0,45.0,React,Excellent,30.0,88.0,92.0,Software Engineer
Male,21,6.8,75.6,72.3,65.0,60.0,3.0,1.0,Struggled with algorithms,Beginner,2.0,3.0,"Android (Jetpack Compose), SwiftUI",Average,5.0,55.0,70.0,Software Engineer
Female,20,7.9,82.4,80.1,70.0,75.0,0.0,0.0,Participated in hackathons,Intermediate,8.0,22.0,Node,Good,20.0,68.0,88.0,Software Engineer
Male,22,5.9,68.9,65.7,55.0,50.0,4.0,2.0,Missed many classes,Beginner,1.0,1.0,,Poor,2.0,40.0,60.0,Software Engineer
Female,21,8.7,90.5,89.2,85.0,88.0,0.0,0.0,Interned at Google,Advanced,15.0,50.0,Angular,Excellent,35.0,92.0,95.0,Software Engineer
Male,20,7.3,78.3,76.9,68.0,72.0,2.0,0.0,Enjoys competitive coding,Intermediate,7.0,18.0,Django,Good,18.0,62.0,78.0,Software Engineer
Female,19,9.5,95.2,96.5,95.0,98.0,0.0,0.0,Research assistant,Advanced,18.0,55.0,"Android (Jetpack Compose), SwiftUI",Excellent,40.0,95.0,98.0,Software Engineer
Male,23,6.2,71.1,69.4,60.0,55.0,5.0,3.0,Changed majors twice,Beginner,0.0,0.0,,Average,3.0,45.0,65.0,Software Engineer
Female,22,8.1,84.7,83.3,75.0,79.0,1.0,1.0,Active in student government,Intermediate,9.0,25.0,Node,Good,22.0,70.0,82.0,Software Engineer
Male,20,7.0,77.0,74.0,62.0,67.0,2.0,0.0,Organized coding events,Intermediate,6.0,16.0,,Average,16.0,65.0,80.0,Software Engineer
Female,21,8.3,85.0,86.0,80.0,83.0,0.0,0.0,Hackathon winner,Advanced,11.0,32.0,React,Excellent,28.0,82.0,90.0,Software Engineer
Male,19,6.5,73.0,70.0,58.0,63.0,3.0,1.0,Worked part-time,Beginner,3.0,5.0,"Android (Jetpack Compose), SwiftUI",Average,8.0,52.0,72.0,Web Developer
Female,22,9.0,91.0,92.0,88.0,91.0,0.0,0.0,Teaching assistant,Advanced,14.0,48.0,Angular,Excellent,33.0,90.0,93.0,Software Engineer
Male,20,7.6,79.0,77.0,66.0,71.0,1.0,0.0,Enjoyed data structures,Intermediate,7.0,19.0,Django,Good,19.0,67.0,79.0,Software Engineer
Female,21,8.8,89.0,90.0,83.0,86.0,0.0,0.0,Intern at a startup,Advanced,13.0,40.0,React,Excellent,31.0,87.0,91.0,Software Engineer
Male,23,6.0,69.0,67.0,52.0,57.0,4.0,2.0,Struggled with time management,Beginner,2.0,2.0,"Android (Jetpack Compose), SwiftUI",Poor,4.0,43.0,63.0,Software Engineer
Female,22,8.4,86.0,87.0,77.0,80.0,0.0,0.0,Active in social work,Intermediate,10.0,29.0,Node,Good,25.0,73.0,84.0,Software Engineer
Male,20,7.1,75.0,73.0,64.0,69.0,2.0,0.0,Plays basketball,Intermediate,5.0,17.0,,Average,17.0,66.0,77.0,Software Engineer
Female,21,8.9,90.0,91.0,85.0,89.0,0.0,0.0,Research internship,Advanced,14.0,45.0,Angular,Excellent,32.0,89.0,92.0,Software Engineer
Male,19,6.7,74.0,71.0,59.0,64.0,3.0,1.0,Enjoyed networking,Beginner,4.0,6.0,,Average,9.0,54.0,71.0,Web Developer
Female,22,9.3,93.0,94.0,90.0,93.0,0.0,0.0,Competitive coder,Advanced,16.0,52.0,"Android (Jetpack Compose), SwiftUI",Excellent,34.0,93.0,94.0,Software Engineer
Male,20,7.4,78.0,76.0,67.0,70.0,1.0,0.0,Joined many clubs,Intermediate,8.0,20.0,Django,Good,18.0,69.0,78.0,Software Engineer
Female,21,8.6,87.0,88.0,82.0,85.0,0.0,0.0,Passionate about AI,Advanced,12.0,38.0,React,Excellent,29.0,86.0,90.0,Software Engineer
Male,22,6.1,70.0,68.0,56.0,61.0,5.0,3.0,Missed several deadlines,Beginner,1.0,0.0,,Poor,6.0,46.0,64.0,Software Engineer
Male,20,8.2,85.0,88.0,78.0,85.0,0.0,0.0,Interested in cloud computing,Intermediate,5.0,15.0,Node,Good,15.0,75.0,85.0,Software Engineer
Female,21,9.1,92.0,94.0,92.0,90.0,0.0,0.0,Keen on data science,Advanced,12.0,30.0,"Android (Jetpack Compose), SwiftUI",Excellent,25.0,88.0,92.0,Software Engineer
Male,19,6.8,72.0,70.0,65.0,60.0,2.0,1.0,Exploring web development,Beginner,2.0,5.0,,Average,8.0,55.0,70.0,Web Developer
Female,22,7.5,78.0,80.0,70.0,75.0,1.0,0.0,Focused on mobile app development,Intermediate,7.0,10.0,React Native,Good,12.0,68.0,78.0,Software Engineer
Male,20,8.9,90.0,91.0,88.0,92.0,0.0,0.0,Passionate about AI,Advanced,15.0,45.0,TensorFlow,Excellent,30.0,92.0,95.0,Software Engineer
Female,21,6.2,68.0,72.0,55.0,58.0,3.0,2.0,Learning about cybersecurity,Beginner,1.0,2.0,,Average,5.0,48.0,65.0,Software Engineer
Male,23,9.5,95.0,96.0,95.0,98.0,0.0,0.0,Aspiring to be a software architect,Advanced,18.0,55.0,"Android (Jetpack Compose), SwiftUI",Excellent,35.0,95.0,98.0,Software Engineer
Female,19,7.1,75.0,73.0,68.0,62.0,1.0,0.0,Interested in UI/UX design,Intermediate,4.0,8.0,Figma,Good,10.0,62.0,75.0,Software Engineer
Male,20,8.0,82.0,84.0,75.0,80.0,0.0,0.0,Exploring full-stack development,Intermediate,9.0,20.0,Django,Good,18.0,78.0,88.0,Software Engineer
Female,22,6.5,70.0,68.0,60.0,55.0,2.0,1.0,Learning about databases,Beginner,3.0,3.0,,Average,7.0,52.0,72.0,Web Developer
Male,19,9.3,93.0,95.0,93.0,95.0,0.0,0.0,Keen on competitive programming,Advanced,20.0,60.0,C++,Excellent,40.0,98.0,99.0,Software Engineer
Female,21,7.8,80.0,82.0,72.0,78.0,0.0,0.0,Focused on cloud infrastructure,Intermediate,6.0,12.0,"Android (Jetpack Compose), SwiftUI",Good,14.0,70.0,80.0,Software Engineer
Male,23,5.8,65.0,62.0,50.0,48.0,4.0,3.0,Exploring DevOps,Beginner,0.0,0.0,,Poor,3.0,40.0,60.0,Software Engineer
Female,20,8.5,88.0,86.0,82.0,88.0,0.0,0.0,Passionate about data analytics,Advanced,10.0,25.0,Pandas,Excellent,22.0,85.0,90.0,Software Engineer
Male,21,6.0,67.0,65.0,53.0,52.0,3.0,2.0,Interested in network security,Beginner,2.0,1.0,,Average,6.0,45.0,68.0,Software Engineer
Female,19,9.0,91.0,93.0,90.0,93.0,0.0,0.0,Aspiring to be a data scientist,Advanced,16.0,50.0,"Android (Jetpack Compose), SwiftUI",Excellent,32.0,93.0,96.0,Software Engineer
Male,22,7.3,77.0,75.0,69.0,65.0,1.0,0.0,Exploring blockchain technology,Intermediate,5.0,9.0,Solidity,Good,11.0,65.0,77.0,Software Engineer
Female,20,6.7,71.0,69.0,58.0,57.0,2.0,1.0,Learning about IoT,Beginner,1.0,4.0,,Average,9.0,50.0,71.0,Web Developer
Male,21,8.7,89.0,87.0,85.0,89.0,0.0,0.0,Focused on machine learning,Advanced,13.0,40.0,TensorFlow,Excellent,28.0,90.0,94.0,Software Engineer
Female,23,5.5,63.0,60.0,45.0,42.0,5.0,3.0,Interested in testing,Beginner,0.0,0.0,,Poor,2.0,35.0,55.0,Software Engineer
Male,19,9.7,96.0,97.0,97.0,99.0,0.0,0.0,Keen on AI research,Advanced,19.0,58.0,"Android (Jetpack Compose), SwiftUI",Excellent,38.0,97.0,97.0,Software Engineer
Female,21,7.0,74.0,72.0,67.0,61.0,1.0,0.0,Exploring front-end development,Intermediate,4.0,7.0,Angular,Good,13.0,60.0,74.0,Software Engineer
Male,22,8.3,86.0,89.0,80.0,83.0,0.0,0.0,Passionate about cybersecurity,Advanced,8.0,18.0,Kali Linux,Good,17.0,80.0,83.0,Software Engineer
Female,20,6.3,69.0,67.0,56.0,54.0,3.0,2.0,Interested in game development,Beginner,1.0,2.0,Unity,Average,4.0,47.0,67.0,Software Engineer
